batch_id,profile_id,method,n_runs,success_rate,raw_json_valid_rate,parse_repaired_rate,parse_success_rate,strict_llm_valid_rate,curated_series_valid_rate,mean_llm_profile_compliance_score,std_llm_profile_compliance_score,mean_llm_formal_validity_score,mean_llm_temporal_profile_score,mean_final_profile_compliance_score,mean_final_formal_validity_score,mean_final_temporal_profile_score,length_curation_rate,mean_completed_points,mean_truncated_points,mean_curation_intensity,mean_curation_change_rate,mean_llm_length_score,mean_llm_numeric_validity_score,mean_llm_range_score,mean_llm_trend_score,mean_llm_seasonality_score,mean_llm_anomaly_score,mean_llm_noise_score,mean_final_length_score,mean_final_range_score,mean_final_trend_score,mean_final_seasonality_score,mean_final_anomaly_score,mean_final_noise_score,legacy_valid_series_rate,legacy_structural_valid_rate,legacy_temporal_valid_rate,legacy_final_recomputed_rate,mean_slope,std_slope,weekly_seasonality_rate,no_strong_trend_rate,mean_weekly_autocorrelation,anomaly_count_rate,mean_anomaly_count,mean_value,mean_std,mean_time_seconds,std_time_seconds
method_comparison_llama1b_30runs,P5_60,random_few_shot,30,1.0,1.0,0.0,1.0,0.0,0.06666666666666667,0.45479927081400084,0.14360499211216035,0.8295555555555557,0.5421548190754624,0.5092709312713392,1.0,0.5092709312713392,1.0,51.13333333333333,0.0,51.13333333333333,0.8522222222222222,0.1477777777777778,1.0,1.0,0.08681519032004487,0.0818040859818048,1.0,1.0,1.0,1.0,0.67886719016688,0.29154986825181,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,0.06666666666666667,-0.06485649618280269,0.03057851886369388,0.06666666666666667,1.0,0.05938185164739201,0.0,,110.44636243386243,5.953694103691215,15.93348053296407,42.01675668986545
method_comparison_llama1b_30runs,P5_60,tabgen_icl_residual,30,0.9333333333333333,0.9333333333333333,0.0,0.9333333333333333,0.0,0.0,0.39704221850826943,0.09533264565737376,0.7816666666666667,0.5062088851749363,0.45309893565192083,0.9466666666666667,0.4797656023185875,0.9,49.5,0.0,49.5,0.825,0.10833333333333336,0.9333333333333333,0.9333333333333333,0.07856099827426588,0.012941209092146086,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6660609982742666,0.2196680776667501,0.1,0.9333333333333333,0.0,0.9333333333333333,0.0,0.0,-0.06970735918707628,0.02664602276028507,0.0,0.9333333333333333,-0.0039467418552408574,0.0,,110.96755952380953,5.022309979396198,49.8904910326004,150.231319170702
method_comparison_llama1b_30runs,P5_60,validator_feedback_refinement,30,0.7666666666666667,0.7333333333333333,0.03333333333333333,0.7666666666666667,0.0,0.0,0.34738825565220754,0.1518168044022673,0.6952222222222223,0.4991360412172214,0.43007474543427704,0.8133333333333332,0.5234080787676103,0.7333333333333333,35.43333333333333,0.0,35.43333333333333,0.5905555555555556,0.1761111111111111,0.7666666666666667,0.7666666666666667,0.25064935064935107,0.04845387787472942,1.0,0.6974409363448051,0.7666666666666667,0.7666666666666667,0.8213420688732814,0.5740955507756217,0.26666666666666666,0.4315280287548716,0.26666666666666666,0.7666666666666667,0.26666666666666666,0.26666666666666666,0.12337928007377152,0.49299763798803753,0.3,0.7333333333333333,0.550954972200227,0.0,,114.02611111111112,5.301246820415256,182.55443751017253,235.5976948601159
method_comparison_llama1b_30runs,P5_60,value_only_controlled_scale,30,1.0,1.0,0.0,1.0,0.0,0.0,0.5873169562598427,0.1658348269700221,0.8478888888888889,0.6927108458185267,0.667793018477639,1.0,0.667793018477639,1.0,45.63333333333333,0.0,45.63333333333333,0.7605555555555555,0.23944444444444443,1.0,1.0,0.3153514127198338,0.5762276706731151,0.9666666666666667,0.9125976332144915,1.0,1.0,0.8995425889073041,0.7618052583391735,0.13333333333333333,0.876490893330745,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,-0.027828470871539304,0.07306835830997079,0.16666666666666666,1.0,0.3031823229649759,0.0,,97.26033333333334,19.546416922448316,15.592830276489257,10.521140716343044
method_comparison_llama1b_30runs,P6_60,canonical_few_shot,30,1.0,0.8333333333333334,0.16666666666666666,1.0,0.0,0.0,0.22290504937180164,0.013737033410503514,0.8645555555555556,0.25796018880342675,0.34458382587000086,1.0,0.34458382587000086,0.8333333333333334,33.13333333333333,0.0,33.13333333333333,0.5522222222222222,0.4477777777777778,1.0,0.875,0.861111111111111,0.035230434718072405,0.0,0.13549920938452342,1.0,1.0,0.8599170705887121,0.102634645311855,0.0,0.4157835875794363,0.0,1.0,0.8333333333333334,0.8333333333333334,13.449930536260075,5.984194146574202,0.8333333333333334,0.0,0.7831044758793825,0.0,50.0,545.2722222222222,302.9940132958674,95.91259586016336,61.78158450728758
method_comparison_llama1b_30runs,P6_60,chatts_attribute_prompting,30,1.0,1.0,0.0,1.0,0.0,0.0,0.21776801888201341,0.01687944726823799,0.8223333333333334,0.26466200009660973,0.27684969749291166,1.0,0.27684969749291166,1.0,53.3,0.0,53.3,0.8883333333333333,0.1116666666666667,1.0,1.0,0.9566666666666666,0.005134493988983155,0.0,0.09684683973078927,1.0,1.0,1.0,0.024596059178425396,0.03333333333333333,0.049469397459887834,0.0,1.0,1.0,1.0,4.304406206309513,0.8906446502259521,1.0,0.0,0.9960648885418195,0.0,33.13333333333333,216.62219576719573,74.66243830198144,12.872771716117859,8.991915784453564
method_comparison_llama1b_30runs,P6_60,cllm_generate_curate,30,0.9333333333333333,0.3333333333333333,0.6,0.9333333333333333,0.0,0.0,0.20478049670941542,0.056010844170991225,0.777,0.250278223265869,0.2522382625452752,0.9466666666666667,0.2522382625452752,0.9333333333333333,50.9,0.0,50.9,0.8483333333333333,0.08500000000000002,0.9333333333333333,0.9333333333333333,0.8306293706293705,0.0,0.0,0.1704835224341056,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.04666974982015177,0.0,0.028949967027615844,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,3.4394628468225306,0.8870755729023249,0.9333333333333333,0.0,0.9988331655982591,0.0,29.142857142857142,200.71636904761905,59.66056985625345,18.93033057053884,14.501604799509472
method_comparison_llama1b_30runs,P6_60,constraint_guided,30,1.0,0.2,0.8,1.0,0.0,0.0,0.24349403396246966,0.01890140413766855,0.8455555555555556,0.287770758910095,0.3137468579991441,1.0,0.3137468579991441,0.2,10.333333333333334,0.0,10.333333333333334,0.17222222222222222,0.8277777777777777,1.0,0.4,0.33333333333333337,0.17138843843878823,0.0,0.6463612638682584,1.0,1.0,0.33293531982586705,0.17658776386216107,0.0,0.7454643483085484,0.0,1.0,0.2,0.2,3.116171158655179,6.913523833374257,0.2,0.0,0.012896497559520666,0.0,28.2,364.3944444444444,389.88505820811747,119.78222815990448,74.89617207137297
method_comparison_llama1b_30runs,P6_60,epic_grouped_attribute_few_shot,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.9666666666666667,0.6333333333333333,0.6333333333333333,0.7908872886525233,0.2188588289826009,0.9672222222222222,0.7925466801968049,0.792109688776409,0.9733333333333333,0.792109688776409,0.03333333333333333,1.8333333333333333,0.0,1.8333333333333333,0.030555555555555555,0.9361111111111111,0.9666666666666667,0.9666666666666667,0.9212698412698413,0.5447363464912579,0.9,0.8041805330261199,0.9666666666666667,0.9666666666666667,0.9246031746031746,0.5449945884606595,0.9,0.7988409920418021,0.0,0.9666666666666667,0.3333333333333333,0.3333333333333333,1.8526189937817974,0.37902380769055544,0.3333333333333333,0.0,0.7083364450499269,0.0,10.448275862068966,160.82045402298849,45.6480534463334,166.4304155667623,118.27091091654935
method_comparison_llama1b_30runs,P6_60,harmonic_knn,30,1.0,1.0,0.0,1.0,0.03333333333333333,0.03333333333333333,0.2903550513300093,0.16088923167199062,0.8422222222222223,0.33781026302005884,0.43120578344563193,1.0,0.43120578344563193,0.9333333333333333,47.333333333333336,0.0,47.333333333333336,0.7888888888888889,0.21111111111111114,1.0,1.0,0.45619047619047615,0.0444423598827388,0.06666666666666667,0.7839415493403536,1.0,1.0,0.9865079365079364,0.09782734758120928,0.3111111111111111,0.3293767385822706,0.0,1.0,0.9666666666666667,0.9666666666666667,2.9690470609560853,1.8829924383550534,0.9666666666666667,0.0,0.947691609890104,0.03333333333333333,22.1,194.68682285714286,53.35091340661142,16.45896786848704,22.855870274983392
