batch_id,model,method,n_runs,success_rate,raw_json_valid_rate,parse_repaired_rate,parse_success_rate,strict_llm_valid_rate,curated_series_valid_rate,mean_llm_profile_compliance_score,std_llm_profile_compliance_score,mean_llm_formal_validity_score,mean_llm_temporal_profile_score,mean_final_profile_compliance_score,mean_final_formal_validity_score,mean_final_temporal_profile_score,length_curation_rate,mean_completed_points,mean_truncated_points,mean_curation_intensity,mean_curation_change_rate,mean_llm_length_score,mean_llm_numeric_validity_score,mean_llm_range_score,mean_llm_trend_score,mean_llm_seasonality_score,mean_llm_anomaly_score,mean_llm_noise_score,mean_final_length_score,mean_final_range_score,mean_final_trend_score,mean_final_seasonality_score,mean_final_anomaly_score,mean_final_noise_score,legacy_valid_series_rate,legacy_structural_valid_rate,legacy_temporal_valid_rate,legacy_final_recomputed_rate,mean_slope,std_slope,weekly_seasonality_rate,no_strong_trend_rate,mean_weekly_autocorrelation,anomaly_count_rate,mean_anomaly_count,mean_value,mean_std,mean_time_seconds,std_time_seconds
method_comparison_llama1b_30runs,llama3.2:1b,canonical_few_shot,180,0.9833333333333333,0.39444444444444443,0.6055555555555555,1.0,0.0,0.0,0.2548753175374516,0.17216054053158866,0.854494708994709,0.30274392293001257,0.35070825080492146,0.9833333333333333,0.3590415841382547,0.5111111111111111,8.916666666666666,0.0,8.916666666666666,0.1888227513227513,0.794510582010582,0.9833333333333333,0.527962962962963,0.6376255663983655,0.2758058656148412,0.2722222222222222,0.02532203748462135,0.9833333333333333,0.9833333333333333,0.61903890398405,0.3163057377938813,0.3,0.20082169477508774,0.07222222222222222,0.9833333333333333,0.34444444444444444,0.34444444444444444,3.6806069594097224,10.63167149638142,0.2722222222222222,0.03888888888888889,0.21639872769330118,0.0,35.1,345.4270278450363,319.56187635647115,90.6003806789716,79.13873242727492
method_comparison_llama1b_30runs,llama3.2:1b,chatts_attribute_prompting,180,0.9777777777777777,0.9666666666666667,0.027777777777777776,0.9944444444444445,0.0,0.0,0.4026360832952454,0.17621008628977722,0.8350964405964406,0.4767416864269074,0.4836369198888173,0.9822222222222223,0.4880813643332617,0.9388888888888889,27.65,0.0,27.65,0.7232010582010582,0.25457671957671957,0.9777777777777777,0.9653499278499279,0.30952293574942,0.36858426825837887,0.65,0.5788595416998307,0.9777777777777777,0.9777777777777777,0.5491516674695021,0.31320205644051974,0.4444444444444444,0.6455272889785806,0.16111111111111112,0.9777777777777777,0.45555555555555555,0.45555555555555555,0.9443479765432141,2.6587748926709875,0.31666666666666665,0.25,0.5140350102104908,0.0,18.810344827586206,152.35891074327458,33.31164655045594,30.378083087338343,61.20798316689205
method_comparison_llama1b_30runs,llama3.2:1b,cllm_generate_curate,180,0.8777777777777778,0.4,0.4777777777777778,0.8777777777777778,0.0,0.005555555555555556,0.37242999598370324,0.17611181708688373,0.7582592592592593,0.4923411454533453,0.42571634688819115,0.9022222222222223,0.47682745799930226,0.8722222222222222,27.933333333333334,0.0,27.933333333333334,0.7198148148148148,0.15796296296296297,0.8777777777777778,0.8777777777777778,0.37556162744647653,0.33905861285230127,0.6638888888888889,0.5908554526257145,0.8777777777777778,0.8777777777777778,0.6102304648608586,0.29925104203975933,0.46111111111111114,0.5367172139854799,0.18888888888888888,0.8777777777777778,0.5,0.5,0.8546246460186948,2.4095827580279687,0.3333333333333333,0.2833333333333333,0.5424365469179048,0.0,15.017857142857142,128.2131625477195,22.15302574173002,22.494944963190292,50.82602044816151
method_comparison_llama1b_30runs,llama3.2:1b,constraint_guided,180,0.9944444444444445,0.18888888888888888,0.8111111111111111,1.0,0.0,0.0,0.15406482601164065,0.10173171592670273,0.8463571428571429,0.1839821607727258,0.2007728180295825,0.9894444444444445,0.20480059580736026,0.19444444444444445,4.0055555555555555,0.09444444444444444,4.1,0.10134920634920636,0.8930952380952382,0.9944444444444445,0.38035714285714284,0.3553711766824371,0.1430653493088407,0.12777777777777777,0.10971433932184761,0.9944444444444445,0.9944444444444445,0.38184724466233555,0.1599295507931702,0.11666666666666667,0.16075892110726864,0.15,0.9444444444444444,0.23333333333333334,0.23333333333333334,-0.18699818383550426,7.308949002762855,0.15,0.011111111111111112,-0.057482262418290804,0.0,20.2,300.42976855546686,364.960781805237,115.61992011070251,97.04194517819622
method_comparison_llama1b_30runs,llama3.2:1b,epic_grouped_attribute_few_shot,180,0.9833333333333333,0.45,0.5333333333333333,0.9833333333333333,0.25555555555555554,0.2833333333333333,0.6280299886629734,0.2399078344705699,0.9097380952380953,0.6762043337185196,0.6740704163900302,0.9866666666666666,0.6785148608344745,0.5388888888888889,13.022222222222222,0.0,13.022222222222222,0.3846428571428571,0.5986904761904762,0.9833333333333333,0.9833333333333333,0.48316056477116975,0.575404723434781,0.8722222222222222,0.7740298244459058,0.9833333333333333,0.9833333333333333,0.6419633958966734,0.5122613202842073,0.7166666666666667,0.843168060490351,0.3,0.9833333333333333,0.4388888888888889,0.4388888888888889,0.35097791131736916,1.7734383465484176,0.2611111111111111,0.34444444444444444,0.49125072351051,0.07777777777777778,5.677966101694915,120.08787394628284,21.843178067510628,73.63628303872214,111.98610793473495
method_comparison_llama1b_30runs,llama3.2:1b,harmonic_knn,180,1.0,0.8777777777777778,0.12222222222222222,1.0,0.016666666666666666,0.05,0.46631599808566343,0.19003800537997426,0.8607219817219818,0.5355899808294781,0.5833329294508637,1.0,0.5833329294508637,0.9611111111111111,27.66111111111111,0.0,27.66111111111111,0.6927645502645502,0.30723544973544975,1.0,0.996374458874459,0.23132803966803422,0.34974419488301106,0.6888888888888889,0.8723987998779781,1.0,1.0,0.7000586777063225,0.3675638144052772,0.39629629629629626,0.8694129293955587,0.2388888888888889,1.0,0.5277777777777778,0.5277777777777778,0.408233707976571,2.2943855817818166,0.3277777777777778,0.3611111111111111,0.4706821776283101,0.016666666666666666,12.016666666666667,130.2411728287982,24.02880827611788,12.892372087637584,15.139490217447507
method_comparison_llama1b_30runs,llama3.2:1b,prompt_only,180,0.9944444444444445,0.9611111111111111,0.03333333333333333,0.9944444444444445,0.0,0.011111111111111112,0.34849969892257066,0.19538632340287918,0.8895046268065298,0.38344435690850304,0.4982779557842067,0.9866666666666666,0.5002224002286512,0.6833333333333333,13.455555555555556,4.2555555555555555,17.711111111111112,0.4086111111111111,0.6411904761904762,0.9944444444444445,0.8618882133977284,0.31162101145052923,0.3462809475752562,0.6638888888888889,0.21198657971933793,0.9944444444444445,0.9944444444444445,0.5159963365186253,0.4943496666120327,0.36944444444444446,0.621099153339502,0.0,0.9166666666666666,0.29444444444444445,0.21666666666666667,9.838364875990278,8.933125757791094,0.3055555555555556,0.011111111111111112,0.5514111712740278,0.0,34.32203389830509,548.4350945033507,126.37798692097984,118.9607529229588,104.84530582624639
method_comparison_llama1b_30runs,llama3.2:1b,random_few_shot,180,1.0,1.0,0.0,1.0,0.0,0.03333333333333333,0.4611967441385768,0.17557622134918696,0.8453333333333333,0.5402093389870141,0.5778412555645989,1.0,0.5778412555645989,0.9944444444444445,30.22222222222222,0.0,30.22222222222222,0.7733333333333333,0.22666666666666668,1.0,1.0,0.1653186516557374,0.37301314807152025,0.6888888888888889,0.9336166673319094,1.0,1.0,0.7217237092276024,0.35439168501434515,0.35462962962962963,0.8806199983868183,0.2222222222222222,1.0,0.5166666666666667,0.5166666666666667,0.11329638250905454,1.623374158418857,0.32222222222222224,0.3611111111111111,0.47039433234412875,0.016666666666666666,9.566666666666666,120.95641204018644,17.804726962971802,9.81618914074368,18.646760874890305
method_comparison_llama1b_30runs,llama3.2:1b,tabgen_icl_residual,180,0.9833333333333333,0.8722222222222222,0.1111111111111111,0.9833333333333333,0.005555555555555556,0.03333333333333333,0.46114738230218083,0.188063130086062,0.8502486772486773,0.5337410361289984,0.5918245551471499,0.9866666666666666,0.5962689995915944,0.9,27.144444444444446,0.0,27.144444444444446,0.6820899470899471,0.30124338624338626,0.9833333333333333,0.9833333333333333,0.22652629125068238,0.30639944621020915,0.6916666666666667,0.9103717403884353,0.9833333333333333,0.9833333333333333,0.7196424931019343,0.35057320119195573,0.43703703703703706,0.8778232670354504,0.23333333333333334,0.9833333333333333,0.5166666666666667,0.5166666666666667,0.6253043085411157,3.6503664163730623,0.3,0.37222222222222223,0.46329369551261995,0.011111111111111112,10.457627118644067,124.5863857061186,21.329090013714705,26.10004608631134,84.18652878289342
method_comparison_llama1b_30runs,llama3.2:1b,validator_feedback_refinement,180,0.95,0.9111111111111111,0.03888888888888889,0.95,0.0,0.0,0.40806971475401305,0.15549420482567367,0.8113597883597884,0.50036826816878,0.48844001214567,0.9600000000000001,0.5062177899234478,0.9444444444444444,27.316666666666666,0.0,27.316666666666666,0.7432010582010581,0.20679894179894182,0.95,0.95,0.3562193362193362,0.35182687085589653,0.6666666666666666,0.6267601989332204,0.95,0.95,0.6380442709073717,0.3319730845740207,0.44722222222222224,0.6076315819901764,0.23333333333333334,0.95,0.5444444444444444,0.5444444444444444,0.9079655042597846,2.4594986860361483,0.37777777777777777,0.29444444444444445,0.5838427480652323,0.016666666666666666,16.52542372881356,129.64786337536964,23.562484965333514,53.80262465344535,121.66573517267918
